pclass,sex,age,fare,adult_male,alone,Southampton,family
2,1,51.0,12.525,1,1,1,0
2,1,27.0,13.0,1,1,1,0
2,1,42.0,13.0,1,1,1,0
2,1,54.0,26.0,1,0,1,1
3,1,28.0,8.05,1,1,1,0
3,0,20.0,8.6625,0,1,1,0
3,1,26.0,8.05,1,1,1,0
3,1,28.0,7.8958,1,1,1,0
3,0,14.5,14.4542,0,0,0,1
3,1,21.0,8.4333,1,1,1,0
3,1,28.0,7.25,1,1,1,0
1,1,47.5,26.55,1,1,1,0
1,1,45.0,35.5,1,1,1,0
3,1,47.0,9.0,1,1,1,0
1,1,40.0,27.7208,1,1,0,0
3,1,28.0,7.2292,1,1,0,0
3,1,28.0,7.8958,1,1,1,0
1,1,28.0,35.0,1,1,1,0
3,1,42.0,7.55,1,1,1,0
3,1,29.0,7.875,1,1,1,0
3,1,9.0,46.9,0,0,1,7
3,0,23.0,7.925,0,1,1,0
3,1,21.0,8.6625,1,1,1,0
2,0,24.0,13.0,0,1,1,0
3,1,28.0,7.8958,1,1,1,0
3,1,26.0,8.6625,1,0,1,2
3,0,28.0,7.6292,0,1,0,0
3,1,18.0,7.75,1,1,1,0
3,1,7.0,39.6875,0,0,1,5
3,1,28.0,7.8958,1,1,1,0
2,1,25.0,26.0,1,0,1,1
2,1,39.0,13.0,1,1,1,0
1,1,49.0,65.6344,1,0,0,2
3,1,21.0,7.775,1,1,1,0
3,1,28.0,22.525,1,1,1,0
3,1,8.0,29.125,0,0,0,5
3,1,21.0,7.925,1,1,1,0
3,1,17.0,8.6625,1,1,1,0
3,0,39.0,29.125,0,0,0,5
3,0,11.0,31.275,0,0,1,6
3,1,30.0,7.25,1,1,1,0
3,1,33.0,8.6625,1,1,0,0
3,1,2.5,21.075,0,0,1,4
3,1,17.0,7.0542,1,0,1,1
1,1,28.0,0.0,1,1,1,0
2,1,29.0,10.5,1,1,1,0
3,1,30.0,7.8958,1,1,1,0
3,1,19.0,14.5,1,1,1,0
3,1,41.0,7.125,1,1,1,0
3,1,45.5,7.225,1,1,0,0
3,1,30.0,8.05,1,1,1,0
3,0,18.0,18.0,0,0,1,2
3,1,24.0,7.8958,1,1,1,0
3,1,20.5,7.25,1,1,1,0
3,1,26.0,7.8875,1,1,1,0
3,1,34.0,14.4,1,0,1,2
3,0,25.0,7.775,0,1,1,0
1,1,50.0,55.9,1,0,1,1
3,0,30.0,8.6625,0,1,1,0
3,1,44.0,8.05,1,1,1,0
3,0,28.0,8.05,0,1,1,0
3,1,47.5,7.75,1,1,0,0
2,1,21.0,65.6344,1,0,1,2
3,1,32.0,7.925,1,1,1,0
3,1,50.0,8.05,1,1,1,0
3,1,47.5,7.25,1,1,1,0
3,1,28.0,7.75,1,1,0,0
1,1,31.0,50.4958,1,1,1,0
1,1,33.0,5.0,1,1,1,0
3,1,35.0,8.05,1,1,1,0
1,1,47.5,26.0,1,1,1,0
3,1,30.0,16.1,1,0,1,1
3,1,24.0,16.1,1,0,1,1
3,1,28.0,6.95,1,1,0,0
3,1,34.0,6.4958,1,1,1,0
3,1,22.0,7.8958,1,1,1,0
3,0,6.0,31.275,0,0,1,6
3,0,28.0,8.05,0,1,1,0
3,1,25.0,7.65,1,1,1,0
3,1,28.0,19.9667,1,0,1,1
3,1,40.0,7.8958,1,1,1,0
3,1,2.5,39.6875,0,0,1,5
1,1,19.0,53.1,1,0,1,1
3,1,28.0,23.45,1,0,1,3
3,1,22.0,7.8958,1,1,1,0
3,1,39.0,31.275,1,0,1,6
3,1,33.0,7.775,1,1,1,0
3,1,28.0,7.925,1,0,1,2
3,1,28.0,7.05,1,1,1,0
1,1,47.5,30.6958,1,1,0,0
3,1,28.0,7.75,1,1,0,0
2,1,23.0,13.0,1,1,1,0
2,1,47.0,15.0,1,1,1,0
3,1,31.0,7.75,1,1,0,0
3,1,26.0,7.775,1,1,1,0
2,1,47.5,10.5,1,1,1,0
3,1,28.0,19.9667,1,0,1,1
3,1,28.0,8.05,1,1,1,0
2,1,47.5,12.35,1,1,0,0
3,1,19.0,7.8958,1,1,1,0
3,1,28.0,8.05,1,1,1,0
3,1,28.0,56.4958,1,1,1,0
2,0,44.0,26.0,0,0,1,1
1,1,47.0,25.5875,1,1,1,0
3,1,19.0,7.8958,1,1,1,0
1,1,27.0,65.6344,1,0,0,2
2,1,30.0,13.0,1,1,1,0
2,1,18.0,65.6344,1,1,1,0
3,1,7.0,29.125,0,0,0,5
2,1,23.0,13.0,1,1,1,0
2,1,48.0,13.0,1,1,1,0
2,1,32.0,65.6344,1,0,1,2
1,1,47.5,34.6542,1,1,0,0
2,1,28.0,0.0,1,1,1,0
3,0,21.0,7.75,0,1,0,0
3,0,28.0,25.4667,0,0,1,4
3,0,9.0,27.9,0,0,1,5
2,1,30.0,10.5,1,1,1,0
3,1,28.0,7.8958,1,1,1,0
3,0,28.0,25.4667,0,0,1,4
3,1,28.0,25.4667,1,0,1,4
3,1,37.0,7.925,1,0,1,2
3,1,11.0,46.9,0,0,1,7
1,1,28.0,0.0,1,1,1,0
3,1,21.0,7.7333,1,1,0,0
3,1,35.0,7.05,1,1,1,0
1,1,42.0,52.0,1,0,1,1
2,1,32.0,10.5,1,1,1,0
3,1,20.0,9.5,1,1,1,0
1,1,18.0,65.6344,1,0,0,1
3,1,28.0,7.8292,1,1,0,0
3,0,28.0,65.6344,0,0,1,10
2,1,35.0,26.0,1,1,1,0
2,1,21.0,11.5,1,0,1,1
3,1,38.0,7.05,1,1,1,0
1,1,44.0,65.6344,1,0,0,2
3,1,28.0,8.05,1,1,1,0
2,1,28.0,33.0,1,0,1,1
2,0,27.0,21.0,0,0,1,1
3,1,28.0,8.4583,1,1,0,0
2,1,34.0,13.0,1,1,1,0
2,1,39.0,13.0,1,1,1,0
3,0,32.0,15.5,0,0,0,2
3,1,20.0,7.8542,1,1,1,0
3,1,28.0,7.75,1,0,0,1
3,0,26.0,16.1,0,0,1,1
2,0,47.5,10.5,0,1,1,0
3,1,28.0,7.8958,1,1,1,0
3,1,15.0,7.2292,0,0,0,2
2,1,19.0,36.75,1,0,1,2
3,1,25.0,17.8,1,0,1,1
1,1,37.0,29.7,1,0,0,1
1,1,24.0,65.6344,1,1,0,0
2,1,44.0,26.0,1,0,1,1
2,1,24.0,13.0,1,1,1,0
2,1,21.0,65.6344,1,1,1,0
3,1,22.0,7.25,1,0,1,1
3,1,20.0,7.8542,1,1,1,0
3,0,28.0,8.1375,0,1,0,0
3,1,28.0,7.75,1,1,0,0
2,1,28.0,13.0,1,1,1,0
3,1,36.0,24.15,1,0,1,2
1,1,51.0,61.3792,1,0,0,1
3,0,48.0,34.375,0,0,1,4
2,1,24.0,65.6344,1,0,1,2
2,1,24.0,10.5,1,1,1,0
3,1,28.0,8.05,1,1,1,0
3,1,16.0,20.25,1,0,1,2
1,1,47.5,26.55,1,1,1,0
1,1,47.5,65.6344,1,0,1,5
2,1,36.5,26.0,1,0,1,2
3,1,21.0,7.925,1,1,1,0
2,1,30.0,24.0,1,0,0,1
3,1,28.0,7.8958,1,1,1,0
3,1,28.0,7.3125,1,1,1,0
3,1,28.0,65.6344,1,0,1,10
3,1,32.0,7.925,1,1,1,0
1,1,47.5,65.6344,1,0,0,2
3,1,41.0,14.1083,1,0,1,2
3,1,28.0,8.05,1,1,1,0
1,1,28.0,42.4,1,1,1,0
3,1,28.0,7.55,1,1,1,0
1,0,25.0,65.6344,0,0,1,3
1,1,38.0,65.6344,1,0,1,1
3,1,29.0,9.4833,1,1,1,0
1,1,47.5,26.55,1,1,1,0
3,1,42.0,8.6625,1,1,1,0
3,1,4.0,27.9,0,0,1,5
3,1,28.0,14.5,1,1,1,0
3,1,28.0,7.75,1,1,0,0
2,1,50.0,13.0,1,1,1,0
3,1,26.0,7.8958,1,1,1,0
3,1,47.5,7.75,1,1,0,0
3,0,8.0,21.075,0,0,1,4
1,1,29.0,30.0,1,1,1,0
3,1,24.5,8.05,1,1,1,0
1,1,38.0,0.0,1,1,1,0
3,1,28.0,7.75,1,1,0,0
3,1,28.0,7.7292,1,1,0,0
1,1,47.0,38.5,1,1,1,0
3,1,28.0,8.05,1,1,1,0
3,1,19.0,0.0,1,1,1,0
2,1,28.0,15.05,1,1,0,0
2,1,25.0,13.0,1,1,1,0
2,1,28.0,0.0,1,1,1,0
3,1,28.0,24.15,1,1,0,0
3,1,20.0,9.225,1,1,1,0
2,1,28.0,0.0,1,1,1,0
3,1,28.0,24.15,1,0,0,1
3,1,17.0,7.125,1,1,1,0
3,1,23.0,9.225,1,1,1,0
2,1,36.0,27.75,1,0,1,3
3,1,19.0,10.1708,1,1,1,0
3,1,28.0,7.8958,1,1,1,0
3,1,22.0,9.0,1,1,1,0
3,1,28.0,7.8958,1,1,1,0
3,1,28.0,7.8542,1,1,1,0
2,1,35.0,10.5,1,1,1,0
2,1,29.0,21.0,1,0,1,1
3,1,28.0,7.25,1,1,1,0
1,1,47.5,33.5,1,1,1,0
2,1,25.0,13.0,1,1,1,0
1,1,28.0,27.7208,1,1,0,0
3,1,27.0,14.4542,1,0,0,1
3,1,28.0,7.8958,1,1,1,0
3,1,28.0,7.7958,1,1,1,0
3,1,28.0,8.05,1,1,1,0
3,1,35.0,7.8958,1,1,0,0
3,1,28.0,7.225,1,1,0,0
3,1,28.0,14.4583,1,1,0,0
3,1,34.0,8.05,1,1,1,0
3,1,38.0,8.6625,1,1,1,0
1,1,37.0,53.1,1,0,1,1
3,1,34.0,8.05,1,1,1,0
3,1,28.0,14.5,1,1,1,0
1,1,21.0,65.6344,1,0,1,1
3,1,16.0,9.5,1,1,1,0
3,0,28.0,65.6344,0,0,1,10
1,1,19.0,65.6344,1,0,1,5
2,1,23.0,10.5,1,1,1,0
3,1,28.0,65.6344,1,0,1,10
2,1,27.0,13.0,1,1,1,0
3,1,28.0,15.5,1,0,0,1
2,0,26.0,26.0,0,0,1,2
3,1,39.0,7.925,1,1,1,0
3,1,28.0,7.225,1,1,0,0
3,1,28.0,7.7333,1,1,0,0
2,1,25.0,41.5792,1,0,0,3
3,1,34.5,6.4375,1,1,0,0
3,1,28.0,7.2292,1,1,0,0
3,1,21.0,7.8,1,1,1,0
2,1,26.0,10.5,1,1,1,0
3,1,22.0,9.35,1,1,1,0
3,0,10.0,24.15,0,0,1,2
3,1,28.0,8.05,1,1,1,0
1,1,47.5,30.5,1,1,1,0
3,0,31.0,7.8542,0,1,1,0
2,1,36.0,12.875,1,1,0,0
3,0,28.0,7.8958,0,1,1,0
2,1,52.0,13.0,1,1,1,0
3,1,4.0,31.275,0,0,1,6
3,1,33.0,9.5,1,1,1,0
3,1,48.0,7.8542,1,1,1,0
3,1,40.0,15.5,1,0,0,2
3,0,29.0,10.4625,0,0,1,2
3,1,28.0,8.05,1,1,1,0
3,1,23.5,7.2292,1,1,0,0
1,1,45.5,28.5,1,1,1,0
2,1,28.0,0.0,1,1,1,0
3,1,40.5,7.75,1,1,0,0
1,1,45.0,26.55,1,1,1,0
3,1,20.0,8.05,1,1,1,0
3,0,9.0,34.375,0,0,1,4
3,0,28.0,7.55,0,1,1,0
1,1,47.5,49.5042,1,1,0,0
3,1,40.0,7.225,1,1,0,0
3,1,11.0,18.7875,0,1,0,0
3,1,28.0,21.6792,1,0,0,2
2,1,28.0,13.5,1,1,1,0
3,1,36.0,0.0,1,1,1,0
3,0,9.0,15.2458,0,0,0,2
3,1,28.0,7.2292,1,1,0,0
3,0,9.0,31.275,0,0,1,6
2,1,27.0,26.0,1,1,1,0
3,0,45.0,27.9,0,0,1,5
2,1,47.5,10.5,1,1,1,0
1,1,28.0,47.1,1,1,1,0
3,1,38.0,7.8958,1,1,1,0
3,1,17.0,8.6625,1,1,1,0
3,1,26.0,7.8958,1,1,1,0
3,1,22.0,7.5208,1,1,1,0
3,1,28.0,7.75,1,1,0,0
3,1,22.0,7.25,1,1,1,0
3,1,28.0,15.5,1,0,0,1
3,0,28.0,25.4667,0,0,1,4
1,1,29.0,65.6344,1,0,1,1
3,1,36.0,15.55,1,0,1,1
1,1,46.0,61.175,1,0,1,1
3,1,22.0,8.05,1,1,1,0
3,1,40.5,14.5,1,0,1,2
1,1,31.0,52.0,1,0,1,1
3,1,28.0,7.225,1,1,0,0
2,1,46.0,26.0,1,1,1,0
3,1,28.0,7.8958,1,1,1,0
1,1,28.0,30.6958,1,1,0,0
3,1,39.0,24.15,1,1,1,0
3,1,28.0,9.5,1,1,1,0
3,0,28.0,7.75,0,0,0,2
3,1,28.0,9.5,1,1,1,0
1,1,28.0,50.0,1,1,1,0
3,1,51.0,7.0542,1,1,1,0
3,1,28.0,7.2292,1,1,0,0
3,1,21.0,7.25,1,1,1,0
3,1,14.0,46.9,0,0,1,7
3,1,28.0,7.8958,1,1,0,0
3,1,25.0,7.8958,1,1,1,0
2,1,37.0,26.0,1,0,1,1
3,1,36.0,7.8958,1,1,1,0
3,0,21.0,9.825,0,0,1,1
2,1,31.0,37.0042,1,0,0,2
1,1,28.0,26.0,1,1,1,0
3,1,26.0,7.8542,1,0,1,1
3,1,19.0,7.65,1,1,1,0
2,1,23.0,13.0,1,1,1,0
2,1,18.0,11.5,1,1,1,0
3,1,28.0,7.25,1,1,1,0
3,0,28.0,65.6344,0,0,1,10
2,1,29.0,27.7208,1,0,0,1
3,1,28.0,6.8583,1,1,0,0
1,1,38.0,65.6344,1,0,1,1
1,0,24.0,65.6344,0,1,0,0
1,1,27.0,65.6344,1,1,0,0
3,0,15.0,14.4542,0,0,0,1
2,0,2.5,26.0,0,0,1,2
3,0,27.0,12.475,0,0,1,1
3,0,47.5,9.5875,0,1,1,0
3,1,27.0,6.975,1,1,1,0
1,1,38.0,65.6344,1,0,1,1
2,0,45.0,13.5,0,1,1,0
1,0,53.0,51.4792,0,0,1,2
1,1,4.0,65.6344,0,0,1,2
1,0,19.0,26.2833,0,0,1,2
3,1,21.0,7.7958,1,1,1,0
1,0,39.0,55.9,0,0,1,1
3,0,28.0,7.225,0,1,0,0
1,0,16.0,57.9792,0,0,0,1
1,1,36.0,26.3875,1,1,1,0
1,1,28.0,35.5,1,1,1,0
1,1,28.0,30.5,1,1,1,0
1,0,22.0,65.6344,0,0,1,1
1,0,19.0,26.2833,0,0,1,2
2,0,3.0,41.5792,0,0,0,3
3,0,27.0,7.925,0,1,1,0
1,0,47.5,65.6344,0,0,0,1
1,1,23.0,63.3583,1,0,0,1
3,1,29.0,9.5,1,1,1,0
3,1,27.0,6.975,1,1,1,0
1,0,28.0,51.8625,0,0,1,1
3,0,2.5,19.2583,0,0,0,3
2,0,36.0,26.0,0,0,1,1
2,1,31.0,13.0,1,1,1,0
2,0,40.0,15.75,0,1,1,0
3,0,21.0,7.65,0,1,1,0
2,0,19.0,26.0,0,1,1,0
3,0,28.0,7.8292,0,1,0,0
3,1,29.0,9.5,1,1,1,0
3,0,15.0,14.4542,0,0,0,1
1,0,47.5,65.6344,0,0,0,1
1,0,47.5,65.6344,0,0,0,1
1,0,24.0,65.6344,0,1,0,0
1,0,47.5,65.6344,0,0,0,1
3,1,30.0,9.5,1,1,1,0
2,0,28.0,13.0,0,1,1,0
3,0,31.0,20.525,0,0,1,2
3,0,28.0,16.1,0,0,1,1
1,1,36.0,26.3875,1,1,1,0
3,1,30.0,9.5,1,1,1,0
2,1,32.0,26.0,1,0,1,1
3,1,27.0,6.975,1,1,1,0
3,0,28.0,7.75,0,1,0,0
3,1,20.0,7.925,1,0,1,1
2,0,34.0,32.5,0,0,1,2
2,0,28.0,12.35,0,1,0,0
2,0,40.0,15.75,0,1,1,0
1,0,47.5,65.6344,0,0,1,1
3,0,14.0,11.2417,0,0,0,1
1,1,25.0,55.4417,1,0,0,1
3,0,15.0,8.0292,0,1,0,0
1,1,28.0,30.5,1,1,1,0
1,0,47.5,65.6344,0,0,0,1
1,0,33.0,53.1,0,0,1,1
3,0,28.0,16.1,0,0,1,1
1,0,45.0,65.6344,0,0,1,2
3,1,29.0,9.5,1,1,1,0
1,1,36.0,65.6344,1,0,1,3
3,1,39.0,7.925,1,1,1,0
2,0,50.0,10.5,0,1,1,0
1,0,24.0,65.6344,0,1,0,0
2,0,17.0,10.5,0,1,1,0
2,0,22.0,29.0,0,0,1,2
2,0,29.0,26.0,0,0,1,1
3,1,28.0,7.775,1,1,1,0
3,0,28.0,7.225,0,1,0,0
2,0,28.0,12.35,0,1,0,0
1,0,22.0,65.6344,0,0,1,1
1,1,11.0,65.6344,0,0,1,3
3,0,18.0,7.4958,0,1,1,0
2,0,18.0,23.0,0,0,1,1
1,0,40.0,65.6344,0,1,1,0
3,0,18.0,7.4958,0,1,1,0
3,0,4.0,13.4167,0,0,0,1
1,1,35.0,65.6344,1,1,0,0
3,0,19.0,7.8542,0,0,1,1
3,0,2.5,11.1333,0,0,1,2
2,0,6.0,33.0,0,0,1,1
1,0,47.5,65.6344,0,0,0,1
3,0,14.0,11.2417,0,0,0,1
1,0,31.0,65.6344,0,0,1,2
3,0,2.5,12.2875,0,0,1,1
3,0,15.0,14.4542,0,0,0,1
2,1,19.0,10.5,1,1,1,0
1,0,47.5,65.6344,0,0,0,1
3,0,5.0,31.3875,0,0,1,6
3,0,24.0,16.7,0,0,1,2
1,0,45.0,65.6344,0,0,1,2
1,1,28.0,30.5,1,1,1,0
2,0,36.0,13.0,0,1,1,0
3,0,5.0,19.2583,0,0,0,3
3,1,29.0,9.5,1,1,1,0
3,1,3.0,15.9,0,0,1,2
3,1,28.0,7.2292,1,1,0,0
3,0,26.0,7.925,0,1,1,0
3,0,15.0,14.4542,0,0,0,1
1,1,47.5,35.5,1,1,0,0
2,0,8.0,26.25,0,0,1,2
2,0,40.0,15.75,0,1,1,0
2,0,28.0,33.0,0,1,1,0
1,1,25.0,55.4417,1,0,0,1
1,0,19.0,26.2833,0,0,1,2
1,0,35.0,65.6344,0,1,0,0
1,0,44.0,27.7208,0,1,0,0
1,0,35.0,52.0,0,0,1,1
3,0,35.0,20.25,0,0,1,2
2,0,22.0,29.0,0,0,1,2
1,0,44.0,27.7208,0,1,0,0
1,0,44.0,57.9792,0,0,0,1
1,0,44.0,57.9792,0,0,0,1
1,0,47.5,26.55,0,1,1,0
3,1,28.0,8.1125,1,1,1,0
3,0,28.0,7.7333,0,1,0,0
3,1,28.0,7.2292,1,1,0,0
1,0,35.0,65.6344,0,0,1,1
2,1,32.0,26.0,1,0,1,1
3,1,4.0,11.1333,0,0,1,2
3,0,27.0,12.475,0,0,1,1
1,1,51.0,26.55,1,1,1,0
3,0,2.5,11.1333,0,0,1,2
1,0,47.5,26.55,0,1,1,0
3,0,2.5,12.2875,0,0,1,1
1,0,23.0,65.6344,0,0,1,5
3,0,17.0,7.925,0,0,1,6
1,1,31.0,57.0,1,0,1,1
2,0,34.0,10.5,0,1,1,0
3,1,39.0,7.925,1,1,1,0
3,0,28.0,7.225,0,1,0,0
2,0,17.0,10.5,0,1,1,0
2,0,24.0,27.0,0,0,1,3
1,0,47.5,65.6344,0,1,1,0
1,0,24.0,65.6344,0,1,0,0
1,1,36.0,26.3875,1,1,1,0
3,1,28.0,56.4958,1,1,1,0
3,0,28.0,7.7333,0,1,0,0
2,0,48.0,65.0,0,0,1,3
1,1,38.0,65.6344,1,0,1,1
1,1,48.0,65.6344,1,0,0,1
1,0,16.0,39.4,0,0,1,1
3,0,15.0,14.4542,0,0,0,1
3,0,15.0,8.0292,0,1,0,0
1,0,33.0,65.6344,0,1,1,0
3,1,3.0,15.9,0,0,1,2
3,0,28.0,7.75,0,1,0,0
1,1,28.0,26.55,1,1,1,0
1,0,35.0,52.0,0,0,1,1
3,0,16.0,7.7333,0,1,0,0
2,0,24.0,65.0,0,0,1,3
3,0,16.0,7.7333,0,1,0,0
2,0,28.0,12.35,0,1,0,0
1,0,23.0,65.6344,0,0,1,5
3,1,9.0,20.525,0,0,1,2
3,0,28.0,22.3583,0,0,0,2
3,1,3.0,31.3875,0,0,1,6
1,0,28.0,65.6344,0,1,0,0
3,0,29.0,15.2458,0,0,0,2
3,1,2.5,8.5167,0,0,0,1
2,0,28.0,33.0,0,1,1,0
1,0,29.0,65.6344,0,1,1,0
3,1,9.0,15.9,0,0,1,2
1,0,35.0,65.6344,0,0,1,1
1,0,47.0,52.5542,0,0,1,2
3,0,28.0,7.8292,0,1,0,0
1,1,47.5,35.5,1,1,0,0
3,0,17.0,7.925,0,0,1,6
3,0,4.0,22.025,0,0,1,2
1,1,11.0,65.6344,0,0,1,3
1,0,35.0,65.6344,0,0,1,1
1,0,35.0,65.6344,0,0,1,1
2,0,28.0,13.0,0,1,1,0
3,0,19.0,7.8542,0,0,1,1
1,0,33.0,53.1,0,0,1,1
1,0,30.0,65.6344,0,1,1,0
1,0,47.5,65.6344,0,0,0,1
1,0,53.0,51.4792,0,0,1,2
1,1,40.0,31.0,1,1,0,0
3,0,28.0,16.1,0,0,1,1
1,0,47.5,65.6344,0,0,0,1
1,0,35.0,65.6344,0,1,0,0
2,0,4.0,23.0,0,0,1,2
1,1,48.0,65.6344,1,0,0,1
1,0,47.5,65.6344,0,0,0,1
2,0,4.0,23.0,0,0,1,2
1,1,28.0,30.0,1,1,1,0
3,0,28.0,7.75,0,1,0,0
3,1,2.5,20.575,0,0,1,3
1,1,38.0,65.6344,1,0,1,1
1,0,30.0,56.9292,0,1,0,0
2,1,19.0,10.5,1,1,1,0
1,0,38.0,65.6344,0,1,1,0
1,0,16.0,39.4,0,0,1,1
3,0,17.0,7.925,0,0,1,6
2,0,28.0,26.0,0,0,1,1
3,1,30.0,9.5,1,1,1,0
3,1,39.0,7.925,1,1,1,0
1,0,16.0,57.9792,0,0,0,1
2,0,19.0,26.0,0,1,1,0
3,1,27.0,8.6625,1,1,1,0
3,1,2.5,8.5167,0,0,0,1
3,0,16.0,7.7333,0,1,0,0
1,0,24.0,65.6344,0,1,0,0
1,0,28.0,65.6344,0,0,0,1
3,0,17.0,7.925,0,0,1,6
3,0,28.0,23.25,0,0,0,2
2,0,24.0,65.0,0,0,1,3
1,1,51.0,26.55,1,1,1,0
1,0,16.0,65.6344,0,1,1,0
1,0,47.5,65.6344,0,0,0,1
1,1,36.0,26.3875,1,1,1,0
1,0,28.0,65.6344,0,0,0,1
1,0,47.5,65.6344,0,1,1,0
1,0,28.0,65.6344,0,0,0,1
1,0,47.5,65.6344,0,0,1,1
2,0,22.0,29.0,0,0,1,2
1,0,29.0,65.6344,0,1,1,0
1,0,28.0,65.6344,0,0,0,1
1,0,22.0,65.6344,0,0,1,1
1,0,47.5,65.6344,0,0,0,1
3,0,18.0,7.4958,0,1,1,0
1,0,43.0,65.6344,0,0,1,1
1,0,35.0,65.6344,0,1,0,0
3,1,27.0,7.7958,1,1,1,0
1,0,48.0,25.9292,0,1,1,0
1,0,47.5,65.6344,0,0,0,1
1,1,28.0,30.5,1,1,1,0
3,1,39.0,7.925,1,1,1,0
3,1,2.5,8.5167,0,0,0,1
1,0,30.0,56.9292,0,1,0,0
3,1,2.5,8.5167,0,0,0,1
1,0,21.0,65.6344,0,1,1,0
1,0,50.0,65.6344,0,0,0,1
1,1,4.0,65.6344,0,0,1,2
1,0,47.5,65.6344,0,0,1,1
3,1,28.0,8.1125,1,1,1,0
1,0,51.0,65.6344,0,0,1,1
3,0,27.0,7.925,0,1,1,0
2,0,36.0,13.0,0,1,1,0
2,0,33.0,26.0,0,0,1,2
1,1,28.0,30.0,1,1,1,0
1,0,39.0,65.6344,0,0,0,2
1,0,30.0,56.9292,0,1,0,0
3,0,35.0,20.25,0,0,1,2
3,0,28.0,7.7875,0,1,0,0
3,0,18.0,9.35,0,0,1,1
3,1,4.0,11.1333,0,0,1,2
3,1,3.0,15.9,0,0,1,2
1,0,29.0,65.6344,0,1,1,0
2,1,2.5,14.5,0,0,1,2
1,1,27.0,65.6344,1,1,0,0
3,1,2.5,20.575,0,0,1,3
3,0,24.0,19.2583,0,0,0,3
1,0,29.0,65.6344,0,1,1,0
2,0,29.0,26.0,0,0,1,1
3,1,27.0,7.7958,1,1,1,0
3,0,15.0,8.0292,0,1,0,0
2,0,22.0,41.5792,0,0,0,3
3,1,27.0,7.7958,1,1,1,0
3,0,24.0,19.2583,0,0,0,3
3,0,16.0,7.7333,0,1,0,0
1,1,36.0,65.6344,1,0,1,3
2,0,24.0,65.0,0,0,1,3
1,0,28.0,51.8625,0,0,1,1
2,0,31.0,26.25,0,0,1,2
1,1,40.0,31.0,1,1,0,0
1,0,16.0,65.6344,0,1,1,0
3,0,24.0,16.7,0,0,1,2
3,0,28.0,7.225,0,1,0,0
1,0,35.0,65.6344,0,1,0,0
2,0,24.0,26.0,0,0,1,1
3,0,4.0,22.025,0,0,1,2
3,0,13.0,7.2292,0,1,0,0
1,0,23.0,65.6344,0,0,1,5
3,0,16.0,7.75,0,1,0,0
1,0,33.0,65.6344,0,1,1,0
2,0,34.0,10.5,0,1,1,0
3,1,32.0,56.4958,1,1,1,0
3,0,28.0,7.7875,0,1,0,0
3,0,15.0,8.0292,0,1,0,0
1,0,28.0,65.6344,0,0,0,1
1,0,47.5,65.6344,0,0,1,1
1,0,28.0,65.6344,0,0,0,1
1,0,22.0,65.6344,0,0,1,1
1,0,35.0,65.6344,0,1,0,0
3,0,2.5,12.2875,0,0,1,1
1,0,23.0,65.6344,0,0,0,1
1,0,30.0,65.6344,0,1,0,0
1,1,31.0,57.0,1,0,1,1
3,1,2.5,8.5167,0,0,0,1
1,1,25.0,55.4417,1,0,0,1
2,0,34.0,10.5,0,1,1,0
3,1,27.0,7.7958,1,1,1,0
3,0,2.5,12.2875,0,0,1,1
1,1,36.0,26.3875,1,1,1,0
3,0,24.0,19.2583,0,0,0,3
1,0,16.0,57.9792,0,0,0,1
3,0,18.0,7.4958,0,1,1,0
3,0,15.0,7.225,0,1,0,0
1,0,28.0,51.8625,0,0,1,1
1,0,16.0,57.9792,0,0,0,1
1,1,28.0,30.0,1,1,1,0
1,0,53.0,51.4792,0,0,1,2
1,0,28.0,65.6344,0,0,0,1
2,1,19.0,10.5,1,1,1,0
2,0,29.0,26.0,0,0,1,1
3,1,45.0,8.05,1,1,1,0
3,0,28.0,7.225,0,1,0,0
1,0,33.0,53.1,0,0,1,1
1,0,28.0,65.6344,0,0,0,1
2,0,34.0,10.5,0,1,1,0
3,1,6.0,12.475,0,0,1,1
1,1,27.0,65.6344,1,1,0,0
1,1,35.0,65.6344,1,1,0,0
1,1,40.0,31.0,1,1,0,0
1,0,49.0,25.9292,0,1,1,0
3,0,24.0,16.7,0,0,1,2
2,1,8.0,36.75,0,0,1,2
3,0,18.0,7.4958,0,1,1,0
1,0,44.0,57.9792,0,0,0,1
3,0,47.5,9.5875,0,1,1,0
2,0,7.0,26.25,0,0,1,2
1,0,28.0,51.8625,0,0,1,1
